chr1	248956422	248956422	chr2	0	0	1
chr2	242193529	242193529	chr3	0	0	1
chr3	198295559	198295559	chr4	0	0	1
chr4	190214555	190214555	chr5	0	0	1
chr5	181538259	181538259	chr6	0	0	1
chr6	170805979	170805979	chr7	0	0	1
chr7	159345973	159345973	chr8	0	0	1
chr8	145138636	145138636	chr9	0	0	1
chr9	138394717	138394717	chr10	0	0	1
chr10	133797422	133797422	chr11	0	0	1
chr11	135086622	135086622	chr12	0	0	1
chr12	133275309	133275309	chr13	0	0	1
chr13	114364328	114364328	chr14	0	0	1
chr14	107043718	107043718	chr15	0	0	1
chr15	101991189	101991189	chr16	0	0	1
chr16	90338345	90338345	chr17	0	0	1
chr17	83257441	83257441	chr18	0	0	1
chr18	80373285	80373285	chr19	0	0	1
chr19	58617616	58617616	chr20	0	0	1
chr20	64444167	64444167	chr21	0	0	1
chr21	46709983	46709983	chr22	0	0	1
chr22	50818468	50818468	chrX	0	0	1
chrX	156040895	156040895	chr1	0	0	1
